row_idx,original_sample_idx,variant_kind,variant_index,perturbation_op,gold_numeric
0,0,original,0,,18
1,0,perturbation,1,distractor_irrelevant,18
2,1,original,0,,3
3,1,perturbation,1,distractor_irrelevant,3
4,2,original,0,,70000
5,2,perturbation,1,distractor_irrelevant,70000
6,3,original,0,,540
7,3,perturbation,1,distractor_irrelevant,540
8,4,original,0,,20
9,4,perturbation,1,distractor_irrelevant,20
10,5,original,0,,64
11,5,perturbation,1,distractor_irrelevant,64
12,6,original,0,,260
13,6,perturbation,1,distractor_irrelevant,260
14,7,original,0,,160
15,7,perturbation,1,distractor_irrelevant,160
16,8,original,0,,45
17,8,perturbation,1,distractor_irrelevant,45
18,9,original,0,,460
19,9,perturbation,1,distractor_irrelevant,460
20,10,original,0,,366
21,10,perturbation,1,distractor_irrelevant,366
22,11,original,0,,694
23,11,perturbation,1,distractor_irrelevant,694
24,12,original,0,,13
25,12,perturbation,1,distractor_irrelevant,13
26,13,original,0,,18
27,13,perturbation,1,distractor_irrelevant,18
28,14,original,0,,60
29,14,perturbation,1,distractor_irrelevant,60
30,15,original,0,,125
31,15,perturbation,1,distractor_irrelevant,125
32,16,original,0,,230
33,16,perturbation,1,distractor_irrelevant,230
34,17,original,0,,57500
35,17,perturbation,1,distractor_irrelevant,57500
36,18,original,0,,7
37,18,perturbation,1,distractor_irrelevant,7
38,19,original,0,,6
39,19,perturbation,1,distractor_irrelevant,6
40,20,original,0,,15
41,20,perturbation,1,distractor_irrelevant,15
42,21,original,0,,14
43,21,perturbation,1,distractor_irrelevant,14
44,22,original,0,,7
45,22,perturbation,1,distractor_irrelevant,7
46,23,original,0,,8
47,23,perturbation,1,distractor_irrelevant,8
48,24,original,0,,26
49,24,perturbation,1,distractor_irrelevant,26
50,25,original,0,,2
51,25,perturbation,1,distractor_irrelevant,2
52,26,original,0,,243
53,26,perturbation,1,distractor_irrelevant,243
54,27,original,0,,16
55,27,perturbation,1,distractor_irrelevant,16
56,28,original,0,,25
57,28,perturbation,1,distractor_irrelevant,25
58,29,original,0,,104
59,29,perturbation,1,distractor_irrelevant,104
60,30,original,0,,109
61,30,perturbation,1,distractor_irrelevant,109
62,31,original,0,,80
63,31,perturbation,1,distractor_irrelevant,80
64,32,original,0,,35
65,32,perturbation,1,distractor_irrelevant,35
66,33,original,0,,70
67,33,perturbation,1,distractor_irrelevant,70
68,34,original,0,,23
69,34,perturbation,1,distractor_irrelevant,23
70,35,original,0,,9
71,35,perturbation,1,distractor_irrelevant,9
72,36,original,0,,75
73,36,perturbation,1,distractor_irrelevant,75
74,37,original,0,,2
75,37,perturbation,1,distractor_irrelevant,2
76,38,original,0,,10
77,38,perturbation,1,distractor_irrelevant,10
78,39,original,0,,18
79,39,perturbation,1,distractor_irrelevant,18
80,40,original,0,,8
81,40,perturbation,1,distractor_irrelevant,8
82,41,original,0,,200
83,41,perturbation,1,distractor_irrelevant,200
84,42,original,0,,26
85,42,perturbation,1,distractor_irrelevant,26
86,43,original,0,,48
87,43,perturbation,1,distractor_irrelevant,48
88,44,original,0,,20
89,44,perturbation,1,distractor_irrelevant,20
90,45,original,0,,104
91,45,perturbation,1,distractor_irrelevant,104
92,46,original,0,,163
93,46,perturbation,1,distractor_irrelevant,163
94,47,original,0,,800
95,47,perturbation,1,distractor_irrelevant,800
96,48,original,0,,8
97,48,perturbation,1,distractor_irrelevant,8
98,49,original,0,,30
99,49,perturbation,1,distractor_irrelevant,30
100,50,original,0,,294
101,50,perturbation,1,distractor_irrelevant,294
102,51,original,0,,5
103,51,perturbation,1,distractor_irrelevant,5
104,52,original,0,,15
105,52,perturbation,1,distractor_irrelevant,15
106,53,original,0,,40
107,53,perturbation,1,distractor_irrelevant,40
108,54,original,0,,40
109,54,perturbation,1,distractor_irrelevant,40
110,55,original,0,,14
