model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
instruct,0,6.211847046253629,0.16571216006514666,6.046134886188482,1,1
instruct,1,2.1062288892239653,0.03546023643345042,2.070768652790515,1,1
instruct,2,1.256894846811265,0.02929477522987123,1.227600071581394,1,1
instruct,3,1.8672031594881795,0.03897586859729463,1.8282272908908848,1,1
instruct,4,2.198368995369492,0.09689989295201673,2.101469102417475,1,1
instruct,5,1.772001490589219,0.05428023631736245,1.7177212542718565,1,1
instruct,6,0.07012889525331412,0.05258068037993524,0.017548214873378876,1,1
instruct,7,1.8199581075904803,0.02823557895710449,1.7917225286333758,1,1
instruct,8,1.8675633069960504,0.049659968159321166,1.8179033388367292,1,1
instruct,9,1.5750519469442503,0.025465459538461688,1.5495864874057887,1,1
instruct,10,1.4658753327881378,0.059307375037674026,1.4065679577504637,1,1
instruct,11,1.257447794083147,0.08305538554938396,1.174392408533763,1,1
instruct,12,2.036825789400133,0.011319483225448068,2.025506306174685,1,1
instruct,13,2.1432521847809474,0.04743328144666348,2.095818903334284,1,1
instruct,14,2.014393202656116,0.08518475088076138,1.9292084517753545,1,1
instruct,15,2.9829324433365816,0.07625352710806477,2.906678916228517,1,1
instruct,16,1.7327204423479632,0.13559746430215092,1.5971229780458123,1,1
instruct,17,2.159488435114997,0.029020603715385618,2.1304678313996113,1,1
instruct,18,2.224257528288657,0.02532740553269619,2.198930122755961,1,1
instruct,19,2.389696215414224,0.05720536479996707,2.332490850614257,1,1
instruct,20,1.7425573570013313,0.011445926896157754,1.7311114301051735,1,1
instruct,21,2.0320114958338213,0.02602917156122786,2.0059823242725936,1,1
instruct,22,1.653572336959537,0.08264710472369263,1.5709252322358442,1,1
instruct,23,2.026080403134945,0.1042640306840823,1.9218163724508626,1,1
instruct,24,1.6244406115138683,0.03835756356352915,1.5860830479503392,1,1
instruct,25,1.9721985695119988,0.01874278904971982,1.953455780462279,1,1
instruct,26,1.7182401044603273,0.010101635552118737,1.7081384689082086,1,1
instruct,27,1.7246699065869469,0.06527369021558227,1.6593962163713645,1,1
instruct,28,1.5996264258269006,0.02813653608787703,1.5714898897390235,1,1
instruct,29,0.012720797730490396,0.020532000416010998,-0.007811202685520602,1,1
instruct,30,1.4559351939790681,0.07164901670877644,1.3842861772702917,1,1
instruct,31,1.705422934838345,0.03278137078529353,1.6726415640530514,1,1
instruct,32,1.5935702951185946,0.012638516790364651,1.58093177832823,1,1
instruct,33,1.7508416140904322,0.07097450123705551,1.6798671128533766,1,1
instruct,34,1.5509106235184529,0.07335335755769257,1.4775572659607603,1,1
instruct,35,1.6689422698186824,0.04880600040567695,1.6201362694130055,1,1
instruct,36,1.6600747267600844,0.06596507239519567,1.5941096543648887,1,1
instruct,37,2.4228070114695672,0.015581046687164868,2.4072259647824024,1,1
instruct,38,3.4264471277351785,0.040909425438663716,3.3855377022965145,1,1
instruct,39,0.08036664475194033,0.018982488282217713,0.06138415646972262,1,1
instruct,40,2.509586960201586,0.04417281598228806,2.465414144219298,1,1
instruct,41,1.9681569858625259,0.07064816198116353,1.8975088238813624,1,1
instruct,42,1.9478596800333223,0.036968314774352584,1.9108913652589696,1,1
instruct,43,1.6537449425879247,0.02962354801265965,1.624121394575265,1,1
instruct,44,1.865600465662864,0.041541675106277154,1.8240587905565868,1,1
instruct,45,0.12305806252753615,0.016537474359410886,0.10652058816812526,1,1
instruct,46,1.7115732298565436,0.01054620786383531,1.7010270219927084,1,1
instruct,47,1.6825715475903336,0.033180767339391126,1.6493907802509424,1,1
instruct,48,1.9274508232493337,0.005106715165412279,1.9223441080839214,1,1
instruct,49,1.9236596608261514,0.009190405375582356,1.9144692554505691,1,1
thinking,0,1.6848401401545818,0.6460627394875544,1.0387774006670274,1,1
thinking,1,3.2797641731560323,2.134888770693838,1.144875402462194,1,1
thinking,2,0.2655808846801897,0.18492856551067371,0.08065231916951598,1,1
thinking,3,0.3544442358675479,0.2677567026637775,0.08668753320377043,1,1
thinking,4,0.01749377471243861,0.5018045187218965,-0.48431074400945784,1,1
thinking,5,0.30934305652584804,0.5782634359072983,-0.2689203793814503,1,1
thinking,6,1.4400832567233748,0.3679873936761361,1.0720958630472386,1,1
thinking,7,0.1529396781910387,0.10912686906374547,0.04381280912729324,1,1
thinking,8,0.0636156244902363,0.5961484499774488,-0.5325328254872125,1,1
thinking,9,1.4726478691731713,0.46741219415344026,1.005235675019731,1,1
thinking,10,1.1772125122958967,0.03160355661750103,1.1456089556783957,1,1
thinking,11,3.6425941198965477,1.667732073349461,1.9748620465470867,1,1
thinking,12,0.01961838278767969,0.24513306122859468,-0.225514678440915,1,1
thinking,13,0.04876795511891863,0.051536440639507575,-0.002768485520588948,1,1
thinking,14,0.8009297462484238,1.0627640612159883,-0.2618343149675645,1,1
thinking,15,0.10844924689456603,0.5116024969190027,-0.4031532500244367,1,1
thinking,16,0.4747757800020776,0.19980194972335386,0.27497383027872374,1,1
thinking,17,1.0112391838579726,0.5814661565563808,0.42977302730159184,1,1
thinking,18,1.5037094302950553,0.36994891509116984,1.1337605152038854,1,1
thinking,19,0.08288968392345497,0.16222450155730306,-0.07933481763384809,1,1
thinking,20,0.6485562342172071,0.9739952369537344,-0.32543900273652726,1,1
thinking,21,0.7498793945088442,0.003266250315437591,0.7466131441934066,1,1
thinking,22,2.701517975761385,2.2514719997846795,0.4500459759767055,1,1
thinking,23,1.680206831852392,1.251729782411219,0.42847704944117293,1,1
thinking,24,1.0486109548636366,0.4812522082978965,0.5673587465657401,1,1
thinking,25,0.787438328362307,0.4680925322950273,0.3193457960672797,1,1
thinking,26,0.20009621501967467,0.4453543518026102,-0.2452581367829355,1,1
thinking,27,1.6502840441090827,0.9932402822064468,0.6570437619026359,1,1
thinking,28,1.4468330968432102,0.9325065573773312,0.5143265394658789,1,1
thinking,29,0.0904712595210744,0.3527664073303152,-0.2622951478092408,1,1
thinking,30,0.6199498908714182,0.027224196738433376,0.5927256941329848,1,1
thinking,31,0.25912652938575387,0.10099922738348191,0.15812730200227196,1,1
thinking,32,3.2820595914516613,0.3682932085648832,2.913766382886778,1,1
thinking,33,1.7704901427885216,0.7048417817577385,1.065648361030783,1,1
thinking,34,1.756496928879412,1.0780076661762321,0.6784892627031798,1,1
thinking,35,0.37465634030201067,0.17179172664402986,0.2028646136579808,1,1
thinking,36,2.164300768295959,0.9418123442792887,1.2224884240166705,1,1
thinking,37,0.023014587487992122,0.014184842743673376,0.008829744744318746,1,1
thinking,38,0.0038084176962864813,0.0035992408004517085,0.00020917689583477284,1,1
thinking,39,0.0783740939368236,0.14246859921849186,-0.06409450528166827,1,1
thinking,40,0.19564901940169388,0.04522102772814485,0.15042799167354903,1,1
thinking,41,0.09356949841208972,0.4172308226528903,-0.3236613242408006,1,1
thinking,42,0.8734031080875093,2.0611115898315053,-1.187708481743996,1,1
thinking,43,0.7313090958732515,0.4874181339470998,0.24389096192615173,1,1
thinking,44,0.7046271417975605,0.39471431880972524,0.30991282298783523,1,1
thinking,45,0.4537944657159534,0.7613292999319536,-0.30753483421600025,1,1
thinking,46,1.323898376819053,0.8403776766672713,0.48352070015178183,1,1
