model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
instruct,0,7.179880050138427,0.7551757518077239,6.424704298330703,5,5
instruct,1,2.1524451141721594,0.8162606074978659,1.3361845066742934,5,5
instruct,2,2.301056095468398,1.4379959706108645,0.8630601248575336,5,5
instruct,3,2.010868374264767,0.04208332997662733,1.9687850442881398,5,5
instruct,4,3.6861319126738112,0.17823757781749477,3.5078943348563163,5,5
instruct,5,4.862193549802779,0.26052058938265216,4.601672960420126,5,5
instruct,6,0.2185844839866816,0.13354365094246415,0.08504083304421745,5,5
instruct,7,3.8703303836074103,0.20040830215152108,3.6699220814558893,5,5
instruct,8,4.549178243886112,0.22789766049377302,4.321280583392339,5,5
instruct,9,1.6679672497211493,0.36320017033235347,1.3047670793887958,5,5
instruct,10,1.5732798492490199,0.16457147153158028,1.4087083777174396,4,4
instruct,11,7.421532630073741,0.11389161371906525,7.307641016354675,5,5
instruct,12,5.902462508491207,1.4350129758976402,4.467449532593567,5,5
instruct,13,6.258837953633472,0.0494860825271222,6.2093518711063505,5,5
instruct,14,2.5368741561373933,0.0928585585058273,2.444015597631566,5,5
instruct,15,3.7446667050855957,0.7953271459588476,2.949339559126748,4,4
instruct,16,2.2485610965492935,0.8210733002774604,1.427487796271833,5,5
instruct,17,2.8736819825220614,0.051280176862333195,2.8224018056597284,5,5
instruct,18,5.005376670583494,1.0391772919768412,3.9661993786066523,5,5
instruct,19,3.907078509937985,0.14316203884288756,3.7639164710950976,5,5
instruct,20,5.6762194858396064,0.20495039423995148,5.471269091599655,5,5
instruct,21,2.279916685917716,0.15408194420673177,2.1258347417109844,5,5
instruct,22,4.928065972631719,0.20821066748497738,4.719855305146742,4,4
instruct,23,3.6643897172466224,2.8580401613846345,0.806349555861988,5,5
instruct,24,1.7474376758245445,0.1271136792570953,1.6203239965674492,5,5
instruct,25,2.4550720822450947,4.093263873073645,-1.6381917908285502,5,5
instruct,26,2.733040944352431,0.03388630583517087,2.69915463851726,5,5
instruct,27,1.9350709426266772,0.2893690486279087,1.6457018939987687,5,5
instruct,28,1.8742966849812672,0.5561888435832523,1.318107841398015,5,5
instruct,29,4.997968732368945,0.3556969247801881,4.642271807588757,5,5
instruct,30,3.439707742094728,0.12770285293884037,3.312004889155888,5,5
instruct,31,3.032631562224662,0.11892210252087988,2.913709459703782,4,4
instruct,32,1.6805086481570892,0.13037586538911475,1.5501327827679745,5,5
instruct,33,4.54485781353378,4.0996751626501045,0.4451826508836758,5,5
instruct,34,7.591503891156937,0.08652936830281939,7.504974522854118,5,5
instruct,35,1.795887814475593,0.1530980732710038,1.642789741204589,5,5
instruct,36,4.644758539667639,4.0842910622582576,0.5604674774093814,5,5
instruct,37,3.2441790302099838,0.030170656048603427,3.2140083741613803,5,5
instruct,38,3.545520538015518,0.19984858280637646,3.345671955209142,5,5
instruct,39,0.09277336996215922,0.786765261473207,-0.6939918915110478,5,5
instruct,40,4.621957212015346,5.087942773585531,-0.4659855615701849,5,5
instruct,41,2.8177467627144432,0.2500330613065191,2.567713701407924,4,4
instruct,42,3.9085842201342467,0.4358994076550817,3.472684812479165,5,5
instruct,43,3.319820777467313,0.062379631647857606,3.2574411458194557,5,5
instruct,44,1.9774783974897292,0.2790322495980796,1.6984461478916497,5,5
instruct,45,4.15057355109046,0.40383477839262033,3.7467387726978396,5,5
instruct,46,3.079742953235457,0.07240287295362563,3.0073400802818315,5,5
instruct,47,1.765551645224022,0.04244533334529509,1.723106311878727,5,5
instruct,48,2.0156000014182824,0.48868356753445186,1.5269164338838306,5,5
instruct,49,2.5424748382855418,0.24017873170255322,2.3022961065829888,5,5
thinking,0,2.101715427254009,2.369576124264783,-0.26786069701077375,5,5
thinking,1,4.300629114221055,2.537337436845231,1.7632916773758236,5,5
thinking,2,1.3844720370095414,1.1615522518035555,0.22291978520598588,5,5
thinking,3,3.197596912726825,1.4278233461413197,1.7697735665855054,5,5
thinking,4,2.7450319108149785,3.345475601034406,-0.6004436902194277,5,5
thinking,5,3.7835792518183493,2.5513927275208994,1.23218652429745,5,5
