model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
instruct,0,7.179880050138427,0.7551757518077239,6.424704298330703,4,5
instruct,1,2.1524451141721594,0.8162606074978659,1.3361845066742934,4,5
instruct,2,2.301056095468398,2.053140653098289,0.24791544237010887,4,5
instruct,3,2.010868374264767,0.04208332997662733,1.9687850442881398,4,5
instruct,4,3.6861319126738112,0.17823757781749477,3.5078943348563163,4,5
instruct,5,2.6408823239737655,0.26052058938265216,2.3803617345911134,4,5
instruct,6,2.9390467325796092,0.13354365094246415,2.805503081637145,5,5
instruct,7,3.8703303836074103,0.20040830215152108,3.6699220814558893,4,5
instruct,8,4.549178243886112,2.9397540480975084,1.6094241957886033,4,5
instruct,9,1.6679672497211493,0.36320017033235347,1.3047670793887958,4,5
instruct,10,1.5732798492490199,0.16457147153158028,1.4087083777174396,3,4
instruct,11,7.421532630073741,1.469872589576158,5.951660040497583,4,5
instruct,12,5.902462508491207,2.0510525032057054,3.851410005285502,4,5
instruct,13,4.744089571580216,2.9313248526922147,1.8127647188880012,4,5
instruct,14,2.5368741561373933,0.0928585585058273,2.444015597631566,4,5
instruct,15,3.7446667050855957,1.6673630075693877,2.077303697516208,3,4
instruct,16,2.2485610965492935,0.8210733002774604,1.427487796271833,4,5
instruct,17,2.8736819825220614,0.051280176862333195,2.8224018056597284,4,5
instruct,18,5.005376670583494,1.0391772919768412,3.9661993786066523,4,5
instruct,19,3.907078509937985,0.14316203884288756,3.7639164710950976,4,5
instruct,20,5.6762194858396064,0.20495039423995148,5.471269091599655,4,5
instruct,21,2.279916685917716,0.15408194420673177,2.1258347417109844,4,5
instruct,22,2.760283964367425,1.48017087255706,1.280113091810365,3,4
instruct,23,3.6643897172466224,2.8580401613846345,0.806349555861988,4,5
instruct,24,1.7474376758245445,1.4709561575268189,0.2764815182977256,4,5
instruct,25,2.4550720822450947,1.4952245977962557,0.9598474844488389,4,5
instruct,26,2.733040944352431,0.03388630583517087,2.69915463851726,4,5
instruct,27,1.9350709426266772,0.2893690486279087,1.6457018939987687,4,5
instruct,28,1.8742966849812672,1.5674502096201537,0.30684647536111354,4,5
instruct,29,5.257472011554324,1.5080034589515605,3.749468552602763,5,5
instruct,30,3.439707742094728,0.12770285293884037,3.312004889155888,4,5
instruct,31,3.032631562224662,0.11892210252087988,2.913709459703782,3,4
instruct,32,1.6805086481570892,0.13037586538911475,1.5501327827679745,4,5
instruct,33,1.9972645990384907,0.37505969202713707,1.6222049070113536,4,5
instruct,34,7.591503891156937,0.08652936830281939,7.504974522854118,4,5
instruct,35,1.795887814475593,2.934902986418196,-1.1390151719426032,4,5
instruct,36,2.21520094464335,0.12151878281162595,2.0936821618317243,4,5
instruct,37,3.2441790302099838,1.4657641005285234,1.7784149296814604,4,5
instruct,38,3.545520538015518,1.479017777432545,2.0665027605829733,4,5
instruct,39,0.09277336996215922,3.034669025826071,-2.9418956558639118,5,5
instruct,40,4.621957212015346,4.2202738679215726,0.40168334409377326,4,5
instruct,41,2.8177467627144432,0.2500330613065191,2.567713701407924,3,4
instruct,42,3.9085842201342467,0.4358994076550817,3.472684812479165,4,5
instruct,43,3.319820777467313,1.4667806067562763,1.8530401707110369,4,5
instruct,44,1.9774783974897292,0.2790322495980796,1.6984461478916497,4,5
instruct,45,0.7487283461610131,2.9585974798688937,-2.2098691337078806,5,5
instruct,46,3.079742953235457,0.07240287295362563,3.0073400802818315,4,5
instruct,47,1.765551645224022,0.04244533334529509,1.723106311878727,4,5
instruct,48,2.0156000014182824,0.48868356753445186,1.5269164338838306,4,5
instruct,49,2.5424748382855418,0.24017873170255322,2.3022961065829888,4,5
thinking,0,2.1798597605077386,2.937025460154523,-0.7571656996467846,5,5
thinking,1,3.8034588170345347,4.2991849748594255,-0.4957261578248908,5,5
thinking,2,1.8041857372661947,1.6393678620014862,0.16481787526470848,5,5
thinking,3,3.638111262893193,2.2471998248256373,1.3909114380675556,5,5
thinking,4,3.24752640271064,2.4134564090977655,0.8340699936128746,5,5
thinking,5,3.4582169309051505,1.215216248191427,2.243000682713723,5,5
thinking,6,2.4794845523283144,1.2301207513515535,1.249363800976761,5,5
thinking,7,1.019102256621364,0.3232765095187676,0.6958257471025966,5,5
thinking,8,0.2844315684342592,1.4647627497100344,-1.180331181275775,5,5
thinking,9,1.7274745649028256,1.673100774201438,0.05437379070138748,5,5
thinking,10,1.6811248462356656,1.2460896001432633,0.4350352460924023,4,4
thinking,11,3.8800939486921866,3.2792047488157485,0.6008891998764381,5,5
thinking,12,0.6937149216933984,1.4016208799755558,-0.7079059582821574,5,5
thinking,13,1.233865752214897,1.021265951352309,0.212599800862588,5,5
thinking,14,2.271191493607118,1.5761408142278204,0.6950506793792974,5,5
thinking,15,1.5087668148851068,3.6036494892250186,-2.094882674339912,4,4
thinking,16,2.115495464199227,2.1396927131423493,-0.02419724894312214,5,5
thinking,17,1.4479347530061446,2.3724099220338193,-0.9244751690276747,5,5
thinking,18,4.100947283224739,1.7297675355140698,2.3711797477106695,5,5
thinking,19,1.4919514902885251,4.134319925272457,-2.6423684349839323,5,5
thinking,20,2.4583907691210407,2.705460731003348,-0.24706996188230734,5,5
thinking,21,3.3545581759466074,2.3118794001196736,1.0426787758269338,5,5
thinking,22,3.116445730549363,2.6607067991666544,0.4557389313827085,4,4
thinking,23,4.801446621828456,2.640507883683742,2.1609387381447136,5,5
thinking,24,1.0537236671003491,0.6629968328647631,0.3907268342355861,5,5
thinking,25,2.5679797503135546,3.6807123134009205,-1.112732563087366,5,5
thinking,26,1.9371209454036935,2.5633776233044303,-0.6262566779007368,5,5
thinking,27,3.0670710072536993,2.876819694375534,0.1902513128781651,5,5
thinking,28,3.211014886645465,4.301793349488304,-1.090778462842839,5,5
thinking,29,2.3714449822413197,2.342139980470485,0.029305001770834505,5,5
thinking,30,2.563876387787279,1.608134636854559,0.9557417509327202,5,5
thinking,31,1.26634986621379,1.738793219876315,-0.472443353662525,4,4
thinking,32,3.951414392865594,0.8574029345361709,3.0940114583294234,5,5
thinking,33,1.9669490693817464,0.9160731152192884,1.050875954162458,5,5
thinking,34,2.3321519635121613,1.6248737579349617,0.7072782055771996,5,5
thinking,35,5.123145755271845,4.157370277777569,0.965775477494276,5,5
thinking,36,5.918524514052327,1.114044176386562,4.8044803376657645,5,5
thinking,37,1.3441658122098714,0.5352985370512539,0.8088672751586176,5,5
thinking,38,2.1654123727632015,1.2995610814473082,0.8658512913158933,5,5
thinking,39,1.8917050647821811,2.1957626587613275,-0.30405759397914633,5,5
thinking,40,2.0844193581424233,1.2223798304661706,0.8620395276762527,5,5
thinking,41,0.6136710034770892,0.501543282228419,0.11212772124867021,4,4
thinking,42,4.701772261215388,2.4090708908126457,2.2927013704027424,5,5
thinking,43,2.7526154416215154,1.3683383132590652,1.3842771283624502,5,5
thinking,44,2.47589626464239,1.8387443225617157,0.6371519420806742,5,5
thinking,45,1.9250486161146838,1.7828875436520841,0.14216107246259968,5,5
thinking,46,1.7768755638947102,1.4031802612837483,0.37369530261096195,5,5
thinking,47,3.4015520476201795,1.2491917177862473,2.1523603298339324,5,5
thinking,48,2.6562296143421067,1.1716330050972912,1.4845966092448155,5,5
thinking,49,3.1175256457413174,3.030307389713558,0.08721825602775946,5,5
