variant,model,n_questions,mean_hcds,ci_low_95,ci_high_95,t_statistic,p_value_two_sided,n_features_avg,verdict
full,instruct,50,2.253938381774949,1.6872159612863409,2.846005092403162,7.9581100792308375,2.2141983614760527e-10,5.44,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
full,thinking,50,0.4794751556692124,0.06801223268285347,0.8591089648711426,2.3935181213260783,0.020561960720278848,5.9,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
no_paraphrase,instruct,50,2.019544318015138,1.5116317639934609,2.5862614115223583,7.708168148483377,5.3515808154125e-10,4.54,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
no_paraphrase,thinking,50,0.6056681505805458,0.21181908414822026,0.9648421002624825,3.105880242339763,0.0031514922329719903,5.0,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
no_mech,instruct,50,2.6978429649525038,2.1516725059121553,3.2447586005561986,9.817933180782898,3.6916564234334745e-13,4.9,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
no_mech,thinking,50,0.680772531531325,0.2727998899474158,1.0573692969165902,3.382361511401544,0.001420133051738944,4.9,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
no_entropy,instruct,50,1.7160253359315785,1.2415891773606456,2.147741694844702,6.968860351814597,7.412953125818114e-09,3.44,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
no_entropy,thinking,50,0.0932818891968531,-0.29814882213755395,0.43216347445012826,0.5036255909677474,0.6167812729066803,3.9,ambiguous (CI crosses zero or p >= 0.05)
no_perturb,instruct,50,2.1841294058809195,1.6724797496047292,2.723698535736381,8.244822460122535,8.088824916925935e-11,4.44,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
no_perturb,thinking,50,0.5063515493901597,0.16582420182976787,0.8532370624103017,2.788967859153853,0.007508890105775754,4.9,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
no_paraphrase_no_mech,instruct,50,2.4891476151600984,1.9930757107123613,3.001921715106658,9.747441957815054,4.673431395427432e-13,4.0,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
no_paraphrase_no_mech,thinking,50,0.8747434075193745,0.5022869339051889,1.2428588529366764,4.544543766062997,3.614699271478383e-05,4.0,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
entropy_only,instruct,50,1.4549720052244388,1.0541650544461951,1.9462106992463828,6.389259115749712,5.8616577075211174e-08,2.0,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
entropy_only,thinking,50,0.8288344090509572,0.5668199104975772,1.157526862400002,5.325856958525812,2.5080295290357514e-06,2.0,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
latency_only,instruct,50,1.790917560650855,1.577098559485911,2.0338582983287847,14.461026645221686,2.621111101049053e-19,1.0,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
latency_only,thinking,50,0.40471266251507815,0.2113219153495301,0.6121091336070296,3.8069156408852987,0.00039199576402751857,1.0,"neutral aligns with CoT (HCDS > 0, p < 0.05)"
