model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
instruct,0,5.86730476644469,0.4144031969279694,5.452901569516721,3,4
instruct,1,3.802651775251817,0.6516570224720125,3.1509947527798046,3,4
instruct,2,2.6146324919736026,0.4227036850898101,2.1919288068837925,3,4
instruct,3,11.2351308632819,4.173707002551495,7.061423860730404,3,4
instruct,4,3.00698738900679,2.0752841790767844,0.9317032099300055,3,4
instruct,5,3.9365337274344414,0.7769753835705467,3.159558343863895,3,4
instruct,6,2.760999197851194,0.1546531631146498,2.606346034736544,3,4
instruct,7,2.0708374625048935,0.32991434482258,1.7409231176823137,3,4
instruct,8,2.926910977905094,2.090046305086974,0.8368646728181202,3,4
instruct,9,5.502308695139349,2.072779119948284,3.429529575191065,3,4
instruct,10,2.908788188263425,0.7386102321932277,2.170177956070197,3,4
instruct,11,3.1785512639507116,0.793309672484869,2.3852415914658427,3,4
instruct,12,3.222441216826349,1.0862420657506904,2.136199151075659,3,4
instruct,13,2.9800000891591316,0.14403948485240717,2.8359606043067243,3,4
instruct,14,3.215132883587273,0.5090784442092104,2.7060544393780623,3,4
instruct,15,2.79015267213582,2.1722206428151365,0.6179320293206834,3,4
instruct,16,2.4379235799447136,0.5175448613773456,1.9203787185673682,3,4
instruct,17,2.590376016441993,0.5241591265098863,2.066216889932107,3,4
instruct,18,2.9924462502294715,3.100119165794356,-0.10767291556488434,3,4
instruct,19,2.4081473161607407,0.393097804169115,2.015049511991626,3,4
instruct,20,3.791827648724525,1.197823109378859,2.594004539345666,3,4
instruct,21,2.6904951222043296,0.3939481206634737,2.296547001540856,3,4
instruct,22,1.811730407183302,0.5800794076877076,1.2316509994955944,3,4
instruct,23,2.548387100344758,0.26974398268985944,2.2786431176548985,3,4
instruct,24,2.1846930442162265,0.7251237520272242,1.4595692921890022,3,4
instruct,25,2.6089229809701338,1.033118746291415,1.5758042346787187,3,4
instruct,26,2.3330206539300087,0.10588921886914902,2.2271314350608598,3,4
instruct,27,2.714923848959576,0.4970077015260695,2.2179161474335065,3,4
instruct,28,2.722295879118848,0.4516048931268942,2.2706909859919535,3,4
instruct,29,2.943407947680706,0.150864475540325,2.7925434721403812,3,4
instruct,30,3.50665756192997,5.244913939510347,-1.7382563775803774,3,4
instruct,31,2.3414901324241515,0.16615263395352065,2.175337498470631,3,4
instruct,32,3.623233655860434,0.08374213693586578,3.539491518924568,3,4
instruct,33,1.870610096047913,2.0858884900097507,-0.21527839396183768,3,4
instruct,34,1.9517853166773549,3.1045469245686164,-1.1527616078912615,3,4
instruct,35,1.8118278866120556,0.52752242971862,1.2843054568934358,3,4
instruct,36,2.4004125278450625,2.0870393273484766,0.3133732004965859,3,4
instruct,37,2.0084035799984736,1.0389942877230696,0.9694092922754041,3,4
instruct,38,3.472442462851838,0.20815671047762102,3.2642857523742173,3,4
instruct,39,2.2660228326876073,0.3910159052142027,1.8750069274734047,3,4
instruct,40,2.723150531712724,0.3574176187231934,2.3657329129895306,3,4
instruct,41,2.5670793707597546,2.1875187315852473,0.3795606391745072,3,4
instruct,42,2.724347605041152,1.0688123022639007,1.6555353027772515,3,4
instruct,43,2.985959944137773,2.077780499314927,0.9081794448228462,3,4
instruct,44,2.931026593559983,1.1339801697092862,1.797046423850697,3,4
instruct,45,2.593487980613598,1.1240186267761874,1.4694693538374106,3,4
instruct,46,2.06363420143021,0.1517491461495085,1.9118850552807014,3,4
instruct,47,2.110350853620873,0.8785831114175946,1.2317677422032784,3,4
instruct,48,2.191513063789981,0.561620532561922,1.6298925312280588,3,4
instruct,49,1.867650085977004,2.2245468078266573,-0.35689672184965326,3,4
thinking,0,1.3947706958773363,1.120221813619064,0.27454888225827223,4,4
thinking,1,1.6377450267699076,0.2828233974494533,1.3549216293204545,4,4
thinking,2,1.678735749136072,2.6572544342241247,-0.9785186850880527,4,4
thinking,3,2.7109334183886618,2.616543854404172,0.09438956398448983,4,4
thinking,4,1.6555444149711462,1.2727677476637784,0.3827766673073678,4,4
thinking,5,0.9884387090373009,1.2642587228170956,-0.2758200137797947,4,4
thinking,6,1.04888288011613,0.3320337311893726,0.7168491489267574,4,4
thinking,7,2.4241751650191574,1.9964061168076876,0.42776904821146977,4,4
thinking,8,2.1259692140810538,1.512982647957494,0.6129865661235598,4,4
thinking,9,1.7704890413714247,1.8351174273515674,-0.06462838598014264,4,4
thinking,10,2.953211888724666,1.3526763380622326,1.6005355506624332,4,4
thinking,11,1.0758425720085958,1.1416733374990515,-0.06583076549045574,4,4
thinking,12,1.1012582078488107,3.130693430624924,-2.0294352227761134,4,4
thinking,13,1.4643545250109495,1.3001461044784024,0.16420842053254714,4,4
thinking,14,1.210739991035702,0.9927523496638672,0.2179876413718348,4,4
thinking,15,2.6698540606990906,3.64228122742335,-0.9724271667242594,4,4
thinking,16,2.354925005840254,1.128573949727216,1.2263510561130382,4,4
thinking,17,3.0357871135001995,1.055858744249415,1.9799283692507845,4,4
thinking,18,2.4657244670288594,2.4296249236515663,0.03609954337729304,4,4
thinking,19,3.3532320932925783,1.015951212814818,2.3372808804777603,4,4
thinking,20,2.3835451483063945,1.403232963723032,0.9803121845833624,4,4
thinking,21,1.0310462389907866,1.675868029381389,-0.6448217903906024,4,4
thinking,22,4.299403974051774,2.3251156473159025,1.9742883267358717,4,4
thinking,23,1.793036233687641,1.5974674623097271,0.19556877137791395,4,4
thinking,24,1.3614412706731553,1.142938267760109,0.21850300291304636,4,4
thinking,25,1.782377559712532,0.9000647559860002,0.8823128037265318,4,4
thinking,26,2.408831410493722,1.1008014745498376,1.3080299359438843,4,4
thinking,27,5.087440659332003,0.9367247941108078,4.150715865221195,4,4
thinking,28,2.3886555237479468,0.925041940886058,1.4636135828618888,4,4
thinking,29,0.10464368682692538,0.04565977037659519,0.05898391645033019,1,1
