model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
instruct,0,5.86730476644469,0.4144031969279694,5.452901569516721,3,3
instruct,1,3.802651775251817,0.6516570224720125,3.1509947527798046,3,3
instruct,2,2.6146324919736026,0.4227036850898101,2.1919288068837925,3,3
instruct,3,11.2351308632819,0.5860922628392777,10.649038600442621,3,3
instruct,4,3.00698738900679,0.1942238998670623,2.8127634891397277,3,3
instruct,5,3.9365337274344414,0.7769753835705467,3.159558343863895,3,3
instruct,6,2.760999197851194,0.1546531631146498,2.606346034736544,3,3
instruct,7,2.0708374625048935,0.32991434482258,1.7409231176823137,3,3
instruct,8,2.926910977905094,0.3149794545059714,2.6119315233991225,3,3
instruct,9,5.502308695139349,0.16532325742843537,5.336985437710913,3,3
instruct,10,2.908788188263425,0.7386102321932277,2.170177956070197,3,3
instruct,11,3.1785512639507116,0.793309672484869,2.3852415914658427,3,3
instruct,12,3.222441216826349,0.33563588938702466,2.8868053274393244,3,3
instruct,13,2.9800000891591316,0.14403948485240717,2.8359606043067243,3,3
instruct,14,3.215132883587273,0.5090784442092104,2.7060544393780623,3,3
instruct,15,2.79015267213582,0.6704185412303073,2.1197341309055124,3,3
instruct,16,2.4379235799447136,0.5175448613773456,1.9203787185673682,3,3
instruct,17,2.590376016441993,0.5241591265098863,2.066216889932107,3,3
instruct,18,2.9924462502294715,0.07283862759636095,2.9196076226331105,3,3
instruct,19,2.4081473161607407,0.393097804169115,2.015049511991626,3,3
instruct,20,3.791827648724525,0.6062258871083699,3.185601761616155,3,3
instruct,21,2.6904951222043296,0.3939481206634737,2.296547001540856,3,3
instruct,22,1.811730407183302,0.5800794076877076,1.2316509994955944,3,3
instruct,23,2.548387100344758,0.26974398268985944,2.2786431176548985,3,3
instruct,24,2.1846930442162265,0.7251237520272242,1.4595692921890022,3,3
instruct,25,2.6089229809701338,0.007998048326769952,2.600924932643364,3,3
instruct,26,2.3330206539300087,0.10588921886914902,2.2271314350608598,3,3
instruct,27,2.714923848959576,0.4970077015260695,2.2179161474335065,3,3
instruct,28,2.722295879118848,0.4516048931268942,2.2706909859919535,3,3
