model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
instruct,0,9.612171207928895,0.7715797532895159,8.84059145463938,5,6
instruct,1,2.459376254612778,0.8172628459765056,1.6421134086362725,5,6
instruct,2,2.3724752952865042,2.0140037770597465,0.3584715182267577,5,6
instruct,3,1.8301874105723965,0.13600036340619756,1.694187047166199,5,6
instruct,4,2.476786365940489,0.1576229634495493,2.3191634024909398,5,6
instruct,5,4.502691359754475,0.25494741246567565,4.247743947288799,5,6
instruct,6,2.938241694943221,0.12288178127838377,2.815359913664837,6,6
instruct,7,3.882725896962076,0.20360647674704438,3.6791194202150317,5,6
instruct,8,4.568844377343048,2.9402105740219673,1.6286338033210805,5,6
instruct,9,1.8077294938393957,0.36263323536469266,1.4450962584747031,5,6
instruct,10,1.731207830296985,0.15830130756596034,1.5729065227310248,4,5
instruct,11,7.391044060351182,1.471243653127251,5.9198004072239305,5,6
instruct,12,6.938726790076019,4.084246420196674,2.8544803698793446,5,6
instruct,13,5.975683793279138,2.9316388587915365,3.044044934487601,5,6
instruct,14,2.734292226220862,0.22742804638367942,2.5068641798371827,5,6
instruct,15,2.85766725659057,1.666503585762282,1.1911636708282878,4,5
instruct,16,2.163515071743949,0.8109208645272393,1.3525942072167094,5,6
instruct,17,2.273933953463668,0.0488877335331046,2.2250462199305634,5,6
instruct,18,5.086591778656322,1.0389078879563851,4.047683890699937,5,6
instruct,19,2.977160953220464,0.1537188892863245,2.8234420639341393,4,5
instruct,20,5.831342232497532,0.20573527341201614,5.625606959085515,5,6
instruct,21,2.5101174398019115,0.16576218187185604,2.3443552579300553,5,6
instruct,22,4.628859502600042,1.4778670272261283,3.1509924753739136,4,5
instruct,23,3.5838500993397666,2.73729655850151,0.8465535408382565,5,6
instruct,24,1.901019398108964,1.4725002050397407,0.42851919306922337,5,6
instruct,25,4.290513790155373,1.4975522509345895,2.7929615392207836,5,6
instruct,26,2.9500126558667112,0.088444667747063,2.8615679881196483,5,6
instruct,27,2.245887211486962,0.2920237590922768,1.9538634523946852,5,6
instruct,28,2.325902689688732,1.56842554388022,0.7574771458085121,5,6
instruct,29,6.2940982349933625,1.5106442440624264,4.783453990930936,6,6
instruct,30,3.5894439258473403,0.1915965996037959,3.3978473262435442,5,6
instruct,31,3.208825458512169,0.11549875547288925,3.09332670303928,4,5
instruct,32,1.7231530118844782,0.14541912275057275,1.5777338891339054,5,6
instruct,33,4.211299051018187,3.5745103900339448,0.6367886609842426,5,6
instruct,34,8.008711901943343,0.09262805054372174,7.9160838513996215,5,6
instruct,35,2.0249976932345177,2.9391781845494203,-0.9141804913149025,5,6
instruct,36,4.2132317854120975,3.557633672829903,0.6555981125821946,5,6
instruct,37,3.494044685430488,4.081808091116642,-0.5877634056861538,5,6
instruct,38,2.811227852327692,1.4792998383380322,1.3319280139896599,5,6
instruct,39,0.08956110456657083,3.034625784042724,-2.9450646794761535,6,6
instruct,40,6.0021675108566335,8.2286599279768,-2.2264924171201663,5,6
instruct,41,3.0867544512557292,0.261178064738559,2.82557638651717,4,5
instruct,42,3.873476588812852,0.4735368389604591,3.399939749852393,5,6
instruct,43,3.3939816870626975,1.466696191085445,1.9272854959772525,5,6
instruct,44,2.3125453948417936,0.28245948851374136,2.0300859063280523,5,6
instruct,45,3.632407830872301,2.9587050365551737,0.6737027943171272,6,6
instruct,46,4.014484559433401,0.07265173210732327,3.941832827326078,5,6
instruct,47,1.9820550392110383,0.07074221933673437,1.911312819874304,5,6
instruct,48,2.209389084308588,0.48998504404077786,1.7194040402678101,5,6
instruct,49,4.3508438766640305,0.3272847462510917,4.023559130412939,5,6
instruct,50,1.4103478917446308,0.04948748200960029,1.3608604097350305,3,3
instruct,51,3.5460073264818637,0.07547600334405102,3.4705313231378128,3,3
instruct,52,3.6047002655762475,0.04913193186382847,3.555568333712419,3,3
instruct,53,1.935656100563643,0.005997932535449446,1.9296581680281935,3,3
instruct,54,3.8448451542634774,0.009973744503904203,3.834871409759573,3,3
instruct,55,1.742960238784689,0.06042419349952033,1.6825360452851688,3,3
instruct,56,2.62791947777775,0.0008690086516680573,2.627050469126082,3,3
instruct,57,3.0188949772924545,0.12543240668052535,2.8934625706119292,3,3
instruct,58,3.842263225356377,7.619081391990426,-3.7768181666340492,3,3
instruct,59,2.0515115006729117,0.1452203296496643,1.9062911710232473,3,3
instruct,60,2.6594801624920636,0.06439129150086809,2.5950888709911957,3,3
instruct,61,4.167046300729747,0.235620488987126,3.931425811742621,3,3
instruct,62,3.1562038942462514,1.3684637497565446,1.7877401444897068,3,3
instruct,63,3.1345824770013295,0.033525942485596705,3.101056534515733,3,3
instruct,64,4.204337208617329,1.3706981346449931,2.8336390739723365,3,3
instruct,65,2.428600099958283,0.09732983338985524,2.3312702665684277,3,3
instruct,66,2.3501167041465285,0.03451715212039308,2.3155995520261357,3,3
instruct,67,2.2592172668972457,0.037078456590910136,2.2221388103063355,3,3
instruct,68,0.03420911932018367,0.03141981537544292,0.002789303944740751,3,3
instruct,69,4.860489295934082,0.07218350604449153,4.78830578988959,3,3
instruct,70,4.787443592458832,0.11788007748219809,4.669563514976634,3,3
instruct,71,2.3478875525991847,0.11716523452331157,2.2307223180758733,3,3
instruct,72,1.5632924236546746,0.058265281216298925,1.5050271424383757,3,3
instruct,73,3.382217761259623,0.009800478789935618,3.3724172824696876,3,3
instruct,74,3.5139464195621004,0.024920392764621657,3.489026026797479,3,3
