model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
gemma,0,4.37670843021601,3.675762188218266,0.7009462419977441,3,3
gemma,1,2.4099989762764857,0.0742379622989151,2.335761013977571,3,3
gemma,2,3.830392814162502,2.8877896751921193,0.9426031389703828,3,3
gemma,3,4.10349334475831,0.016201012912612334,4.087292331845698,3,3
gemma,4,3.111525529798773,2.2743575956418103,0.8371679341569629,3,3
gemma,5,2.234532487357762,0.021704687779881326,2.2128277995778807,3,3
gemma,6,3.1088532821056076,0.03487107238984022,3.0739822097157674,3,3
gemma,7,1.879082379704399,0.06510723588040679,1.8139751438239922,3,3
gemma,8,3.0613635169754208,2.273961950115802,0.7874015668596188,3,3
gemma,9,2.788386785927162,0.0989944161750761,2.689392369752086,3,3
gemma,10,1.91697305129986,0.07002689501050752,1.8469461562893525,2,2
gemma,11,2.8601083487274526,0.0032642547656795973,2.856844093961773,3,3
gemma,12,2.4075397941048795,0.002898272042981098,2.4046415220618984,3,3
gemma,13,3.710352407383061,3.1029637635509904,0.6073886438320706,3,3
gemma,14,3.608553929853285,0.030264875305133332,3.5782890545481516,3,3
gemma,15,1.6111425339796366,2.887491781891965,-1.2763492479123286,2,2
gemma,16,2.7591775798903777,0.03986712717318497,2.7193104527171927,3,3
gemma,17,2.712223375523836,0.06412335889704002,2.648100016626796,3,3
gemma,18,3.617401391785832,1.139428603556075,2.477972788229757,3,3
gemma,19,3.203060531042955,2.2731247409190174,0.9299357901239378,3,3
gemma,20,3.1092245127652745,2.887363916744037,0.22186059602123764,3,3
gemma,21,2.6050452759256224,1.1370408705009818,1.4680044054246406,3,3
gemma,22,1.8472825154947157,0.15976581295818637,1.6875167025365294,2,2
gemma,23,3.3079810263627514,0.03152072846424514,3.276460297898506,3,3
gemma,24,1.6787316908741552,0.0024161621170557535,1.6763155287570994,3,3
gemma,25,2.3636022028269363,2.887355677440461,-0.5237534746135246,3,3
gemma,26,3.84029724618616,2.8873981827222015,0.9528990634639585,3,3
gemma,27,4.095432609119123,3.675212684279862,0.42021992483926107,3,3
gemma,28,3.652100387020171,3.106508916428312,0.5455914705918588,3,3
gemma,29,1.687987886080387,0.043963394946237466,1.6440244911341495,3,3
gemma,30,3.534739050730437,2.8883481675490663,0.6463908831813705,3,3
gemma,31,1.6508105565870026,0.06043398078363904,1.5903765758033637,2,2
gemma,32,2.8258653461524785,0.011889015410909587,2.813976330741569,3,3
gemma,33,3.6442419270707767,2.8890180023265017,0.7552239247442749,3,3
gemma,34,3.0888933041536566,0.0842479101164002,3.004645394037256,3,3
gemma,35,3.0418613966389287,0.02225546260356559,3.019605934035363,3,3
gemma,36,2.010867573893875,0.07073122266263288,1.940136351231242,3,3
gemma,37,2.7075496696886105,1.1371601740376844,1.5703894956509261,3,3
gemma,38,2.3763748650087373,0.051672980901807164,2.32470188410693,3,3
gemma,39,4.023299910212911,3.1029652963048804,0.9203346139080306,3,3
gemma,40,2.620541271685308,0.12748243801248627,2.4930588336728214,3,3
gemma,41,3.3504155684275267,5.7747830291536255,-2.4243674607260988,2,2
gemma,42,3.123041958750011,0.05171451933604532,3.071327439413966,3,3
gemma,43,3.3518107929554213,3.1036319036524502,0.24817888930297105,3,3
gemma,44,3.7930752484635426,3.104514799336585,0.6885604491269577,3,3
gemma,45,4.2440097162724975,2.8873000089126624,1.356709707359835,3,3
gemma,46,3.2589891023585493,1.1381951141698003,2.120793988188749,3,3
gemma,47,2.767685332857787,0.09697537072181905,2.670709962135968,3,3
gemma,48,2.202912683199594,0.05510058951559571,2.1478120936839984,3,3
gemma,49,2.9848853520916996,0.11043242797133734,2.8744529241203622,3,3
