model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
gemma,0,4.5631366067384045,3.7160210080789793,0.8471155986594252,5,5
gemma,1,2.852230765842605,0.2741049744588521,2.5781257913837528,5,5
gemma,2,4.125967754895376,3.3041714474163677,0.821796307479008,5,5
gemma,3,4.690774144327584,1.3652969279733476,3.325477216354236,5,5
gemma,4,3.517883733225649,2.3135756691111546,1.2043080641144943,5,5
gemma,5,2.3492239865607876,2.7154283760243287,-0.36620438946354117,5,5
gemma,6,3.179901455760977,0.06658481020887562,3.1133166455521013,5,5
gemma,7,2.105459755698838,1.1771998847057992,0.9282598709930387,5,5
gemma,8,3.44324107670084,2.4265322931921247,1.0167087835087152,5,5
gemma,9,2.9069728992851522,0.7057978572824175,2.2011750420027347,5,5
gemma,10,1.9992103818559843,0.11058084420865222,1.888629537647332,4,4
gemma,11,6.801670594724987,0.41089977201304323,6.390770822711944,5,5
gemma,12,2.8908947671524308,0.8358186082510408,2.05507615890139,5,5
gemma,13,4.22519579294777,3.3155581469744675,0.9096376459733024,5,5
gemma,14,3.8251894976067424,0.12372476146140227,3.7014647361453403,5,5
gemma,15,2.618429893351549,4.0612639977334375,-1.4428341043818884,4,4
gemma,16,2.9409957671686904,0.9208612341105292,2.0201345330581613,5,5
gemma,17,3.6310109591172974,0.15254550464103467,3.4784654544762628,5,5
gemma,18,3.6643098945004327,1.463677321585281,2.2006325729151515,5,5
gemma,19,3.890646472060941,2.3291596241675028,1.561486847893438,5,5
gemma,20,3.464769064224005,2.8882587991157753,0.5765102651082299,5,5
gemma,21,3.044654526573789,2.504544278309451,0.5401102482643378,5,5
gemma,22,3.509903789602499,0.47704007880958427,3.0328637107929146,4,4
gemma,23,3.5924425650409093,0.1939677815536317,3.3984747834872775,5,5
gemma,24,1.8355539751284922,0.2859086176895048,1.5496453574389872,5,5
gemma,25,2.508806193959551,2.913267952868636,-0.40446175890908487,5,5
gemma,26,4.670259042548438,2.9510453670806145,1.7192136754678238,5,5
gemma,27,4.126379476490674,3.721050538313815,0.4053289381768588,5,5
gemma,28,3.7395056009116456,3.435365710462092,0.3041398904495538,5,5
gemma,29,2.159433400595389,0.7797134700301296,1.3797199305652592,5,5
gemma,30,3.7235737017876835,2.935267965875261,0.7883057359124224,5,5
gemma,31,1.6938580427810008,0.06327958531930655,1.6305784574616942,4,4
gemma,32,7.675470350316928,1.1494823537732597,6.525987996543669,5,5
gemma,33,6.7423742735081325,2.9052700362646555,3.837104237243477,5,5
gemma,34,3.8523758050856194,0.1641265555050212,3.6882492495805983,5,5
gemma,35,3.562006958678766,0.4915766494845197,3.070430309194246,5,5
gemma,36,3.1927643358911597,0.7406217000119701,2.4521426358791896,5,5
gemma,37,5.0419185529934785,1.2600630860842996,3.781855466909179,5,5
gemma,38,4.061788980384849,1.0735548002709485,2.9882341801139,5,5
gemma,39,4.123486467854081,3.104125922084275,1.0193605457698056,5,5
gemma,40,2.681211622761983,0.38173677138884504,2.2994748513731382,5,5
gemma,41,3.7205625662060706,5.977343438682349,-2.256780872476279,4,4
gemma,42,4.9680405363306335,0.09347593177426428,4.874564604556369,5,5
gemma,43,3.686312904601303,3.8900687770429916,-0.2037558724416888,5,5
gemma,44,4.2897848857939085,3.1168189172570906,1.172965968536818,5,5
gemma,45,4.794992282837329,2.905197051947353,1.8897952308899764,5,5
gemma,46,4.066456648915492,1.4414406082262314,2.6250160406892604,5,5
gemma,47,3.068799406743776,0.4662404408447269,2.602558965899049,5,5
gemma,48,2.2165984080605723,1.4675776955068192,0.7490207125537531,5,5
gemma,49,3.1122597468002158,0.14334576355070586,2.96891398324951,5,5
