model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
gemma,0,4.5631366067384045,3.739173166957171,0.8239634397812337,5,6
gemma,1,2.852230765842605,0.3439251328779836,2.508305632964621,5,6
gemma,2,4.125967754895376,3.463570838596035,0.6623969162993406,5,6
gemma,3,4.690774144327584,1.3652969279733476,3.325477216354236,5,6
gemma,4,3.517883733225649,2.4582611205353952,1.0596226126902537,5,6
gemma,5,2.3492239865607876,2.8397124194803482,-0.4904884329195607,5,6
gemma,6,3.179901455760977,0.06658481020887562,3.1133166455521013,5,6
gemma,7,2.105459755698838,1.3319753032882418,0.7734844524105962,5,6
gemma,8,3.44324107670084,2.639475889254437,0.8037651874464027,5,6
gemma,9,2.9069728992851522,1.090213729218846,1.8167591700663062,5,6
gemma,10,1.9992103818559843,0.23532760804450653,1.7638827738114777,4,5
gemma,11,6.801670594724987,0.4604232646624425,6.3412473300625445,5,6
gemma,12,2.8908947671524308,1.500675616504957,1.3902191506474737,5,6
gemma,13,4.22519579294777,3.4744351808632197,0.7507606120845502,5,6
gemma,14,3.8251894976067424,0.43348778138130256,3.3917017162254397,5,6
gemma,15,2.618429893351549,4.659949722854734,-2.0415198295031853,4,5
gemma,16,2.9409957671686904,2.657390383963725,0.2836053832049652,5,6
gemma,17,3.6310109591172974,0.44257651428243533,3.1884344448348623,5,6
gemma,18,3.6643098945004327,1.4783444327101558,2.1859654617902766,5,6
gemma,19,3.890646472060941,3.411557239025517,0.47908923303542394,5,6
gemma,20,3.464769064224005,2.8957192285633893,0.569049835660616,5,6
gemma,21,3.044654526573789,2.504544278309451,0.5401102482643378,5,6
gemma,22,3.509903789602499,0.47704007880958427,3.0328637107929146,4,5
gemma,23,3.5924425650409093,0.1939677815536317,3.3984747834872775,5,6
gemma,24,1.8355539751284922,0.5043288388316954,1.3312251362967968,5,6
gemma,25,2.508806193959551,4.577964351740201,-2.06915815778065,5,6
gemma,26,4.670259042548438,3.0657925759256397,1.6044664666227986,5,6
gemma,27,4.126379476490674,3.812693597539454,0.3136858789512198,5,6
gemma,28,3.7395056009116456,3.4416403828146778,0.29786521809696787,5,6
gemma,29,2.159433400595389,0.8069101903858176,1.3525232102095712,5,6
gemma,30,3.7235737017876835,2.935267965875261,0.7883057359124224,5,6
gemma,31,1.6938580427810008,3.3242518055110044,-1.6303937627300036,4,5
gemma,32,7.675470350316928,1.418352932689507,6.257117417627422,5,6
gemma,33,6.7423742735081325,2.9052700362646555,3.837104237243477,5,6
gemma,34,3.8523758050856194,0.6444347649222529,3.2079410401633663,5,6
gemma,35,3.562006958678766,1.5349412504779822,2.0270657082007837,5,6
gemma,36,3.1927643358911597,3.0010179377888706,0.1917463981022891,5,6
gemma,37,5.0419185529934785,1.9240987555249796,3.117819797468499,5,6
gemma,38,4.061788980384849,1.0735548002709485,2.9882341801139,5,6
gemma,39,4.123486467854081,3.273281494190015,0.8502049736640656,5,6
gemma,40,2.681211622761983,0.5642045751662973,2.1170070475956857,5,6
gemma,41,3.7205625662060706,6.328011582176822,-2.6074490159707517,4,5
gemma,42,4.985381691569119,0.09347593177426428,4.891905759794854,6,6
gemma,43,3.686312904601303,4.084858583867817,-0.3985456792665141,5,6
gemma,44,4.2897848857939085,3.2853210136945417,1.0044638720993668,5,6
gemma,45,4.794992282837329,2.912614095730095,1.8823781871072343,5,6
gemma,46,4.066456648915492,2.8794946201267533,1.1869620287887384,5,6
gemma,47,3.068799406743776,1.725990031492167,1.3428093752516088,5,6
gemma,48,2.2165984080605723,1.4675776955068192,0.7490207125537531,5,6
gemma,49,3.1122597468002158,0.43949044123409325,2.6727693055661224,5,6
