model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
instruct,0,7.179880050138427,0.7551757518077239,6.424704298330703,5,6
instruct,1,2.1524451141721594,0.8162606074978659,1.3361845066742934,5,6
instruct,2,2.301056095468398,2.053140653098289,0.24791544237010887,5,6
instruct,3,2.010868374264767,0.04208332997662733,1.9687850442881398,5,6
instruct,4,3.6861319126738112,0.17823757781749477,3.5078943348563163,5,6
instruct,5,4.862193549802779,0.26052058938265216,4.601672960420126,5,6
instruct,6,2.9390467325796092,0.13354365094246415,2.805503081637145,6,6
instruct,7,3.8703303836074103,0.20040830215152108,3.6699220814558893,5,6
instruct,8,4.549178243886112,2.9397540480975084,1.6094241957886033,5,6
instruct,9,1.6679672497211493,0.36320017033235347,1.3047670793887958,5,6
instruct,10,1.5732798492490199,0.16457147153158028,1.4087083777174396,4,5
instruct,11,7.421532630073741,1.469872589576158,5.951660040497583,5,6
instruct,12,5.902462508491207,2.0510525032057054,3.851410005285502,5,6
instruct,13,6.258837953633472,2.9313248526922147,3.3275131009412577,5,6
instruct,14,2.5368741561373933,0.0928585585058273,2.444015597631566,5,6
instruct,15,3.7446667050855957,1.6673630075693877,2.077303697516208,4,5
instruct,16,2.2485610965492935,0.8210733002774604,1.427487796271833,5,6
instruct,17,2.8736819825220614,0.051280176862333195,2.8224018056597284,5,6
instruct,18,5.005376670583494,1.0391772919768412,3.9661993786066523,5,6
instruct,19,3.907078509937985,0.14316203884288756,3.7639164710950976,5,6
instruct,20,5.6762194858396064,0.20495039423995148,5.471269091599655,5,6
instruct,21,2.279916685917716,0.15408194420673177,2.1258347417109844,5,6
instruct,22,4.928065972631719,1.48017087255706,3.4478951000746596,4,5
instruct,23,3.6643897172466224,2.8580401613846345,0.806349555861988,5,6
instruct,24,1.7474376758245445,1.4709561575268189,0.2764815182977256,5,6
instruct,25,2.4550720822450947,4.3476848166031585,-1.8926127343580639,5,6
instruct,26,2.733040944352431,0.03388630583517087,2.69915463851726,5,6
instruct,27,1.9350709426266772,0.2893690486279087,1.6457018939987687,5,6
instruct,28,1.8742966849812672,1.5674502096201537,0.30684647536111354,5,6
instruct,29,6.656401326463402,1.5080034589515605,5.148397867511841,6,6
instruct,30,3.439707742094728,0.12770285293884037,3.312004889155888,5,6
instruct,31,3.032631562224662,0.11892210252087988,2.913709459703782,4,5
instruct,32,1.6805086481570892,0.13037586538911475,1.5501327827679745,5,6
instruct,33,4.54485781353378,4.0996751626501045,0.4451826508836758,5,6
instruct,34,7.591503891156937,0.08652936830281939,7.504974522854118,5,6
instruct,35,1.795887814475593,2.934902986418196,-1.1390151719426032,5,6
instruct,36,4.644758539667639,4.0842910622582576,0.5604674774093814,5,6
instruct,37,3.2441790302099838,1.4657641005285234,1.7784149296814604,5,6
instruct,38,3.545520538015518,1.479017777432545,2.0665027605829733,5,6
instruct,39,0.09277336996215922,3.034669025826071,-2.9418956558639118,6,6
instruct,40,4.621957212015346,5.871744049848254,-1.2497868378329082,5,6
instruct,41,2.8177467627144432,0.2500330613065191,2.567713701407924,4,5
instruct,42,3.9085842201342467,0.4358994076550817,3.472684812479165,5,6
instruct,43,3.319820777467313,1.4667806067562763,1.8530401707110369,5,6
instruct,44,1.9774783974897292,0.2790322495980796,1.6984461478916497,5,6
instruct,45,4.15057355109046,2.9585974798688937,1.1919760712215663,6,6
instruct,46,3.079742953235457,0.07240287295362563,3.0073400802818315,5,6
instruct,47,1.765551645224022,0.04244533334529509,1.723106311878727,5,6
instruct,48,2.0156000014182824,0.48868356753445186,1.5269164338838306,5,6
instruct,49,2.5424748382855418,0.24017873170255322,2.3022961065829888,5,6
thinking,0,3.1977513683410663,2.7375624233684155,0.46018894497265084,6,6
thinking,1,3.4800985704520797,3.11999387513567,0.36010469531640954,5,6
thinking,2,3.254094512161758,1.5343651698171783,1.7197293423445799,5,6
thinking,3,3.2643675839420085,1.5774688926835718,1.6868986912584367,5,6
thinking,4,3.38959481360914,3.2185687295711,0.17102608403803998,5,6
thinking,5,3.1900924291010204,2.379059108634344,0.8110333204666764,5,6
thinking,6,2.26652261241108,1.0379348103444839,1.2285878020665963,5,6
thinking,7,4.03617168389977,2.30230285004015,1.7338688338596202,5,6
thinking,8,3.6401220051372656,1.1156462868349615,2.524475718302304,5,6
thinking,9,3.0442229411039556,0.3110785277107471,2.7331444133932083,5,6
thinking,10,3.927646823295086,1.0535483127734593,2.874098510521627,4,5
thinking,11,6.671409744739648,2.732152566014597,3.939257178725051,5,6
thinking,12,3.4153662372078304,0.9143044919166119,2.5010617452912185,5,6
thinking,13,2.581497122119677,0.6538583111897458,1.9276388109299314,5,6
thinking,14,2.5264976835250255,1.0440962168271029,1.4824014666979226,5,6
thinking,15,3.7685806135810345,3.1484274171010527,0.6201531964799818,4,5
thinking,16,3.2912095533935983,2.9924437924625478,0.29876576093105056,5,6
thinking,17,3.2779906873712226,2.299668121842205,0.9783225655290178,5,6
thinking,18,2.696957864735757,1.1503358480877235,1.5466220166480336,5,6
thinking,19,3.5156162819282404,4.467990497063095,-0.9523742151348547,5,6
thinking,20,3.8379322263884004,3.3746367801669095,0.4632954462214909,5,6
thinking,21,4.974149997676003,3.251640761126311,1.722509236549692,5,6
thinking,22,3.76175989244915,1.082099827215967,2.6796600652331835,4,5
thinking,23,3.164158241651311,2.3100195781899235,0.8541386634613874,5,6
thinking,24,1.9401281159943027,2.2999592478490487,-0.359831131854746,5,6
thinking,25,3.828337108318923,3.3043377724388434,0.5239993358800796,5,6
thinking,26,6.229291591665416,3.3750603660836545,2.8542312255817617,5,6
thinking,27,4.217984767509854,3.3893529556078805,0.8286318119019738,5,6
thinking,28,3.1679208260406106,3.79617274165753,-0.6282519156169193,6,6
thinking,29,3.1947771606510336,2.3035071608978446,0.891269999753189,5,6
thinking,30,4.066122258099687,1.5264231449437662,2.5396991131559212,5,6
thinking,31,3.7482760557791432,4.8533396040496966,-1.1050635482705533,4,5
thinking,32,2.8218876574442056,0.5640235909498592,2.2578640664943466,5,6
thinking,33,1.9039179842713478,0.5237258245051034,1.3801921597662443,5,6
thinking,34,2.898137200078293,1.0436265873627468,1.854510612715546,5,6
thinking,35,3.935692442473452,3.8422847571405327,0.09340768533291932,5,6
thinking,36,2.273654273591399,0.5292190463598238,1.744435227231575,5,6
thinking,37,1.6712644383881357,2.317886704218103,-0.6466222658299674,6,6
thinking,38,2.647753355710862,1.2402882164746083,1.4074651392362536,5,6
thinking,39,4.911469666199279,2.9029935978630914,2.0084760683361877,5,6
thinking,40,4.147910418716382,1.0622623080538796,3.085648110662502,5,6
thinking,41,2.9051317483758665,0.15322207905125024,2.751909669324616,4,5
thinking,42,5.779529187563678,1.0924245367085808,4.687104650855097,5,6
thinking,43,2.4978530205481886,1.2441291543762332,1.2537238661719554,5,6
thinking,44,3.2373193473233033,1.5797059769765733,1.65761337034673,5,6
thinking,45,4.2233881633211885,1.528132228293891,2.6952559350272978,5,6
thinking,46,4.766789005875853,2.559661483555813,2.20712752232004,5,6
thinking,47,3.2577880066188136,1.0366348627946858,2.221153143824128,6,6
thinking,48,2.487226440052527,0.10684212739953389,2.380384312652993,5,6
thinking,49,5.367149960700938,2.591819394385206,2.775330566315732,5,6
