model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
instruct,0,3.6005046602283195,0.7367699071792388,2.863734753049081,4,5
instruct,1,0.4436438162783077,0.8154900066738212,-0.37184619039551353,4,5
instruct,2,1.9274528524847387,2.052931649507382,-0.12547879702264342,4,5
instruct,3,0.7464207793299888,0.015870990171004542,0.7305497891589843,4,5
instruct,4,2.958841367466397,0.14959627298878542,2.8092450944776113,4,5
instruct,5,4.527796023794947,0.25480312682071965,4.272992896974227,4,5
instruct,6,2.9382099370768975,0.12275658335839182,2.815453353718506,5,5
instruct,7,3.4157297558340827,0.1984092731003581,3.2173204827337245,4,5
instruct,8,4.1481598316613475,2.939334576203958,1.2088252554573895,4,5
instruct,9,0.5489317904525669,0.36230632633166304,0.18662546412090386,4,5
instruct,10,0.5713308960456152,0.15351353200356774,0.4178173640420474,3,4
instruct,11,7.31423076094846,1.4675241846452016,5.846706576303259,4,5
instruct,12,5.539892089903812,2.051021267614234,3.4888708222895786,4,5
instruct,13,5.880435579298061,2.930941056354125,2.949494522943936,4,5
instruct,14,1.542060475198897,0.03696309112023472,1.5050973840786623,4,5
instruct,15,2.2637673843985526,1.6656184432859806,0.598148941112572,3,4
instruct,16,1.433076018075957,0.8097991677591102,0.6232768503168468,4,5
instruct,17,1.8959582894347928,0.04227837625816203,1.8536799131766308,4,5
instruct,18,4.4840243155309425,1.038868599337425,3.4451557161935176,4,5
instruct,19,3.0910539433750035,0.13123610632655608,2.9598178370484476,4,5
instruct,20,5.402125647278651,0.2046305325619795,5.197495114716672,4,5
instruct,21,1.0339000800489464,0.15186746774198406,0.8820326123069624,4,5
instruct,22,4.642362842029131,1.4778617215582515,3.16450112047088,3,4
instruct,23,3.0533179002349757,2.8561377025614534,0.19718019767352235,4,5
instruct,24,0.6439962193643184,1.4704559546900864,-0.826459735325768,4,5
instruct,25,1.4621257577356643,4.347644416506516,-2.885518658770852,4,5
instruct,26,2.1253620272628826,0.03234561303062451,2.0930164142322583,4,5
instruct,27,0.8775039978891661,0.28191096408167804,0.5955930338074881,4,5
instruct,28,0.9768230961274528,1.5671976566391488,-0.590374560511696,4,5
instruct,29,6.656389171333722,1.5078636772496339,5.1485254940840885,5,5
instruct,30,3.116382849067095,0.10570920987967213,3.010673639187423,4,5
instruct,31,2.507665608794075,0.11431468933354003,2.393350919460535,3,4
instruct,32,0.5335194757892189,0.1297618363360362,0.40375763945318266,4,5
instruct,33,4.194077513304715,4.099060753321949,0.09501675998276582,4,5
instruct,34,7.431393379932765,0.04589789225986604,7.385495487672899,4,5
instruct,35,0.6632079177711818,2.9344971484073463,-2.2712892306361647,4,5
instruct,36,4.33796424528694,4.083758329096689,0.25420591619025057,4,5
instruct,37,2.157476249053068,1.465681285062453,0.6917949639906149,4,5
instruct,38,0.9111399268637032,1.4784518946762466,-0.5673119678125434,4,5
instruct,39,0.046347606037972326,3.0346096555317903,-2.988262049493818,5,5
instruct,40,3.881296401833649,5.871577892632999,-1.99028149079935,4,5
instruct,41,2.0164461058476775,0.23984446826014735,1.7766016375875302,3,4
instruct,42,3.3886388525162903,0.43432895056258397,2.9543099019537062,4,5
instruct,43,2.878599947781653,1.4664814331451497,1.4121185146365034,4,5
instruct,44,0.6557100846083219,0.2759226078905632,0.3797874767177587,4,5
instruct,45,4.148748909762875,2.9585512603009567,1.1901976494619184,5,5
instruct,46,2.560338598084616,0.07163067437649623,2.4887079237081196,4,5
instruct,47,0.5349070939824234,0.026469661908728914,0.5084374320736945,4,5
instruct,48,0.5895563498706848,0.4886568843661353,0.10089946550454953,4,5
instruct,49,1.6624415215655883,0.2400028325067842,1.422438689058804,4,5
thinking,0,2.364147307370305,2.7366427495466854,-0.3724954421763802,5,5
thinking,1,2.8290552828013893,3.1111714753070707,-0.28211619250568143,4,5
thinking,2,1.951597444752822,1.5342307467486398,0.41736669800418214,4,5
thinking,3,2.5894476621284044,1.5771947774673165,1.0122528846610879,4,5
thinking,4,2.434085303763688,3.2180968689938267,-0.7840115652301387,4,5
thinking,5,2.3911916697980216,2.3782112974663345,0.012980372331687029,4,5
thinking,6,0.9707777406428095,1.0371476992780675,-0.06636995863525796,4,5
thinking,7,2.669218387196065,2.3022716554422606,0.3669467317538042,4,5
thinking,8,2.860240021814092,1.1137234951556199,1.7465165266584721,4,5
thinking,9,2.301875123017341,0.3068137854439615,1.9950613375733797,4,5
thinking,10,3.3839429633909517,1.0535425954317,2.3304003679592515,3,4
thinking,11,6.428612735534498,2.72600629230422,3.7026064432302785,4,5
thinking,12,2.817477191404509,0.913908047231193,1.903569144173316,4,5
thinking,13,1.7826323163380906,0.6538338132907724,1.1287985030473182,4,5
thinking,14,1.4782747102385094,1.0375517852485925,0.44072292498991694,4,5
thinking,15,3.050770070607215,3.1479260201157793,-0.0971559495085641,3,4
thinking,16,2.726231643385673,2.9923633371380616,-0.26613169375238854,4,5
thinking,17,2.7739878335520043,2.2987812865295023,0.475206547022502,4,5
thinking,18,1.8685972424161545,1.149618103574424,0.7189791388417306,4,5
thinking,19,2.55802591222226,4.467954975023588,-1.9099290628013277,4,5
thinking,20,3.2768817607318437,3.372940993277566,-0.09605923254572213,4,5
thinking,21,3.53173382494012,3.251640741339679,0.2800930836004407,4,5
