model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
instruct,0,7.179880050138427,0.7551757518077239,6.424704298330703,5,6
instruct,1,2.1524451141721594,0.8162606074978659,1.3361845066742934,5,6
instruct,2,2.301056095468398,2.053140653098289,0.24791544237010887,5,6
instruct,3,2.010868374264767,0.04208332997662733,1.9687850442881398,5,6
instruct,4,3.6861319126738112,0.17823757781749477,3.5078943348563163,5,6
instruct,5,4.862193549802779,0.26052058938265216,4.601672960420126,5,6
instruct,6,2.9390467325796092,0.13354365094246415,2.805503081637145,6,6
instruct,7,3.8703303836074103,0.20040830215152108,3.6699220814558893,5,6
instruct,8,4.549178243886112,2.9397540480975084,1.6094241957886033,5,6
instruct,9,1.6679672497211493,0.36320017033235347,1.3047670793887958,5,6
instruct,10,1.5732798492490199,0.16457147153158028,1.4087083777174396,4,5
instruct,11,7.421532630073741,1.469872589576158,5.951660040497583,5,6
instruct,12,5.902462508491207,2.0510525032057054,3.851410005285502,5,6
instruct,13,6.258837953633472,2.9313248526922147,3.3275131009412577,5,6
instruct,14,2.5368741561373933,0.0928585585058273,2.444015597631566,5,6
instruct,15,3.7446667050855957,1.6673630075693877,2.077303697516208,4,5
instruct,16,2.2485610965492935,0.8210733002774604,1.427487796271833,5,6
instruct,17,2.8736819825220614,0.051280176862333195,2.8224018056597284,5,6
instruct,18,5.005376670583494,1.0391772919768412,3.9661993786066523,5,6
instruct,19,3.907078509937985,0.14316203884288756,3.7639164710950976,5,6
instruct,20,5.6762194858396064,0.20495039423995148,5.471269091599655,5,6
instruct,21,2.279916685917716,0.15408194420673177,2.1258347417109844,5,6
instruct,22,4.928065972631719,1.48017087255706,3.4478951000746596,4,5
instruct,23,3.6643897172466224,2.8580401613846345,0.806349555861988,5,6
instruct,24,1.7474376758245445,1.4709561575268189,0.2764815182977256,5,6
instruct,25,2.4550720822450947,4.3476848166031585,-1.8926127343580639,5,6
instruct,26,2.733040944352431,0.03388630583517087,2.69915463851726,5,6
instruct,27,1.9350709426266772,0.2893690486279087,1.6457018939987687,5,6
instruct,28,1.8742966849812672,1.5674502096201537,0.30684647536111354,5,6
instruct,29,6.656401326463402,1.5080034589515605,5.148397867511841,6,6
instruct,30,3.439707742094728,0.12770285293884037,3.312004889155888,5,6
instruct,31,3.032631562224662,0.11892210252087988,2.913709459703782,4,5
instruct,32,1.6805086481570892,0.13037586538911475,1.5501327827679745,5,6
instruct,33,4.54485781353378,4.0996751626501045,0.4451826508836758,5,6
instruct,34,7.591503891156937,0.08652936830281939,7.504974522854118,5,6
instruct,35,1.795887814475593,2.934902986418196,-1.1390151719426032,5,6
instruct,36,4.644758539667639,4.0842910622582576,0.5604674774093814,5,6
instruct,37,3.2441790302099838,1.4657641005285234,1.7784149296814604,5,6
instruct,38,3.545520538015518,1.479017777432545,2.0665027605829733,5,6
instruct,39,0.09277336996215922,3.034669025826071,-2.9418956558639118,6,6
instruct,40,4.621957212015346,5.871744049848254,-1.2497868378329082,5,6
instruct,41,2.8177467627144432,0.2500330613065191,2.567713701407924,4,5
instruct,42,3.9085842201342467,0.4358994076550817,3.472684812479165,5,6
instruct,43,3.319820777467313,1.4667806067562763,1.8530401707110369,5,6
instruct,44,1.9774783974897292,0.2790322495980796,1.6984461478916497,5,6
instruct,45,4.15057355109046,2.9585974798688937,1.1919760712215663,6,6
instruct,46,3.079742953235457,0.07240287295362563,3.0073400802818315,5,6
instruct,47,1.765551645224022,0.04244533334529509,1.723106311878727,5,6
instruct,48,2.0156000014182824,0.48868356753445186,1.5269164338838306,5,6
instruct,49,2.5424748382855418,0.24017873170255322,2.3022961065829888,5,6
thinking,0,2.1798597605077386,2.937025460154523,-0.7571656996467846,6,6
thinking,1,4.453508070204789,4.2991849748594255,0.15432309534536337,6,6
thinking,2,1.8041857372661947,1.6393678620014862,0.16481787526470848,6,6
thinking,3,3.638111262893193,2.2471998248256373,1.3909114380675556,6,6
thinking,4,3.24752640271064,3.3454756010344067,-0.09794919832376658,6,6
thinking,5,4.162535225040202,2.616139462714075,1.5463957623261266,6,6
thinking,6,2.4794845523283144,1.2301207513515535,1.249363800976761,6,6
thinking,7,1.019102256621364,2.3392184293280693,-1.3201161727067052,6,6
thinking,8,2.3341671910176904,1.4647627497100344,0.869404441307656,6,6
thinking,9,1.7274745649028256,1.673100774201438,0.05437379070138748,6,6
thinking,10,2.862449284639351,1.2460896001432633,1.6163596844960877,5,5
thinking,11,3.8800939486921866,3.2792047488157485,0.6008891998764381,6,6
thinking,12,0.6937149216933984,1.4016208799755558,-0.7079059582821574,6,6
thinking,13,1.233865752214897,1.021265951352309,0.212599800862588,6,6
thinking,14,2.271191493607118,1.5761408142278204,0.6950506793792974,6,6
thinking,15,1.5087668148851068,3.6036494892250186,-2.094882674339912,5,5
thinking,16,3.1373167225431584,3.153683570870088,-0.016366848326929695,6,6
thinking,17,1.4479347530061446,2.3724099220338193,-0.9244751690276747,6,6
thinking,18,4.100947283224739,1.7297675355140698,2.3711797477106695,6,6
thinking,19,1.4919514902885251,4.739202085056755,-3.24725059476823,6,6
thinking,20,3.3780349809025045,3.561874917161271,-0.18383993625876638,6,6
thinking,21,3.3545581759466074,3.27295302734383,0.08160514860277734,6,6
thinking,22,3.116445730549363,2.6607067991666544,0.4557389313827085,5,5
thinking,23,4.801446621828456,2.640507883683742,2.1609387381447136,6,6
thinking,24,1.0537236671003491,2.409771764896034,-1.356048097795685,6,6
thinking,25,3.4586059556592894,3.6807123134009205,-0.22210635774163112,6,6
thinking,26,1.9371209454036935,3.455190298400265,-1.5180693529965714,6,6
thinking,27,3.843742931315473,3.693714487131942,0.15002844418353112,6,6
thinking,28,3.211014886645465,4.301793349488304,-1.090778462842839,6,6
thinking,29,2.3714449822413197,2.342139980470485,0.029305001770834505,6,6
thinking,30,2.563876387787279,1.608134636854559,0.9557417509327202,6,6
thinking,31,2.640279746951282,4.949054707264167,-2.3087749603128844,5,5
thinking,32,3.951414392865594,0.8574029345361709,3.0940114583294234,6,6
thinking,33,1.9669490693817464,0.9160731152192884,1.050875954162458,6,6
thinking,34,2.3321519635121613,1.6248737579349617,0.7072782055771996,6,6
thinking,35,5.123145755271845,4.157370277777569,0.965775477494276,6,6
thinking,36,5.918524514052327,1.114044176386562,4.8044803376657645,6,6
thinking,37,2.67847286512581,2.377809849897728,0.30066301522808203,6,6
thinking,38,3.171189982107253,1.2995610814473082,1.8716289006599447,6,6
thinking,39,5.004826539064898,3.1919913552690042,1.8128351837958938,6,6
thinking,40,2.0844193581424233,1.2223798304661706,0.8620395276762527,6,6
thinking,41,0.6136710034770892,0.501543282228419,0.11212772124867021,5,5
thinking,42,4.701772261215388,2.4090708908126457,2.2927013704027424,6,6
thinking,43,2.7526154416215154,1.3683383132590652,1.3842771283624502,6,6
thinking,44,2.47589626464239,1.8387443225617157,0.6371519420806742,6,6
thinking,45,3.01218315062456,1.7828875436520841,1.229295606972476,6,6
thinking,46,2.9197126447764656,2.7085697340400468,0.2111429107364189,6,6
thinking,47,3.4015520476201795,1.2491917177862473,2.1523603298339324,6,6
thinking,48,2.6562296143421067,1.1716330050972912,1.4845966092448155,6,6
thinking,49,3.1175256457413174,3.030307389713558,0.08721825602775946,6,6
