model,sample_idx,d_n_nocot,d_n_cot,hcds_q,n_features_used_n_nocot,n_features_used_n_cot
instruct,0,3.6005046602283195,0.7367699071792388,2.863734753049081,4,5
instruct,1,0.4436438162783077,0.8154900066738212,-0.37184619039551353,4,5
instruct,2,1.9274528524847387,2.052931649507382,-0.12547879702264342,4,5
instruct,3,0.7464207793299888,0.015870990171004542,0.7305497891589843,4,5
instruct,4,2.958841367466397,0.14959627298878542,2.8092450944776113,4,5
instruct,5,4.527796023794947,0.25480312682071965,4.272992896974227,4,5
instruct,6,2.9382099370768975,0.12275658335839182,2.815453353718506,5,5
instruct,7,3.4157297558340827,0.1984092731003581,3.2173204827337245,4,5
instruct,8,4.1481598316613475,2.939334576203958,1.2088252554573895,4,5
instruct,9,0.5489317904525669,0.36230632633166304,0.18662546412090386,4,5
instruct,10,0.5713308960456152,0.15351353200356774,0.4178173640420474,3,4
instruct,11,7.31423076094846,1.4675241846452016,5.846706576303259,4,5
instruct,12,5.539892089903812,2.051021267614234,3.4888708222895786,4,5
instruct,13,5.880435579298061,2.930941056354125,2.949494522943936,4,5
instruct,14,1.542060475198897,0.03696309112023472,1.5050973840786623,4,5
instruct,15,2.2637673843985526,1.6656184432859806,0.598148941112572,3,4
instruct,16,1.433076018075957,0.8097991677591102,0.6232768503168468,4,5
instruct,17,1.8959582894347928,0.04227837625816203,1.8536799131766308,4,5
instruct,18,4.4840243155309425,1.038868599337425,3.4451557161935176,4,5
instruct,19,3.0910539433750035,0.13123610632655608,2.9598178370484476,4,5
instruct,20,5.402125647278651,0.2046305325619795,5.197495114716672,4,5
instruct,21,1.0339000800489464,0.15186746774198406,0.8820326123069624,4,5
instruct,22,4.642362842029131,1.4778617215582515,3.16450112047088,3,4
instruct,23,3.0533179002349757,2.8561377025614534,0.19718019767352235,4,5
instruct,24,0.6439962193643184,1.4704559546900864,-0.826459735325768,4,5
instruct,25,1.4621257577356643,4.347644416506516,-2.885518658770852,4,5
instruct,26,2.1253620272628826,0.03234561303062451,2.0930164142322583,4,5
instruct,27,0.8775039978891661,0.28191096408167804,0.5955930338074881,4,5
instruct,28,0.9768230961274528,1.5671976566391488,-0.590374560511696,4,5
instruct,29,6.656389171333722,1.5078636772496339,5.1485254940840885,5,5
instruct,30,3.116382849067095,0.10570920987967213,3.010673639187423,4,5
instruct,31,2.507665608794075,0.11431468933354003,2.393350919460535,3,4
instruct,32,0.5335194757892189,0.1297618363360362,0.40375763945318266,4,5
instruct,33,4.194077513304715,4.099060753321949,0.09501675998276582,4,5
instruct,34,7.431393379932765,0.04589789225986604,7.385495487672899,4,5
instruct,35,0.6632079177711818,2.9344971484073463,-2.2712892306361647,4,5
instruct,36,4.33796424528694,4.083758329096689,0.25420591619025057,4,5
instruct,37,2.157476249053068,1.465681285062453,0.6917949639906149,4,5
instruct,38,0.9111399268637032,1.4784518946762466,-0.5673119678125434,4,5
instruct,39,0.046347606037972326,3.0346096555317903,-2.988262049493818,5,5
instruct,40,3.881296401833649,5.871577892632999,-1.99028149079935,4,5
instruct,41,2.0164461058476775,0.23984446826014735,1.7766016375875302,3,4
instruct,42,3.3886388525162903,0.43432895056258397,2.9543099019537062,4,5
instruct,43,2.878599947781653,1.4664814331451497,1.4121185146365034,4,5
instruct,44,0.6557100846083219,0.2759226078905632,0.3797874767177587,4,5
instruct,45,4.148748909762875,2.9585512603009567,1.1901976494619184,5,5
instruct,46,2.560338598084616,0.07163067437649623,2.4887079237081196,4,5
instruct,47,0.5349070939824234,0.026469661908728914,0.5084374320736945,4,5
instruct,48,0.5895563498706848,0.4886568843661353,0.10089946550454953,4,5
instruct,49,1.6624415215655883,0.2400028325067842,1.422438689058804,4,5
thinking,0,1.3831494053806133,2.865086646201424,-1.481937240820811,5,5
thinking,1,3.012786268533052,3.731653974422387,-0.7188677058893349,5,5
thinking,2,1.784531582305914,1.6289040526137468,0.1556275296921672,5,5
thinking,3,3.620804171016512,2.231191027427951,1.3896131435885613,5,5
thinking,4,3.2474792846373974,3.3076274309702427,-0.060148146332845265,5,5
thinking,5,4.151024737709922,2.5514304001995773,1.5995943375103447,5,5
thinking,6,2.018416175851685,1.1737897345781976,0.8446264412734874,5,5
thinking,7,1.0075608489245589,2.336671604345896,-1.329110755421337,5,5
thinking,8,2.333300136704263,1.337959991377764,0.995340145326499,5,5
thinking,9,0.9030374442989197,1.606484373216907,-0.7034469289179872,5,5
thinking,10,2.609173548851497,1.245688768029287,1.36348478082221,4,4
thinking,11,1.3366514610671023,2.823447098172244,-1.4867956371051416,5,5
thinking,12,0.6934374605087859,1.3800184322957971,-0.6865809717870113,5,5
thinking,13,1.232901610446816,1.019964773253345,0.212936837193471,5,5
thinking,14,2.1252817089053786,1.163938321588578,0.9613433873168007,5,5
thinking,15,1.504864134248189,3.5671490754295623,-2.0622849411813733,4,4
thinking,16,3.101184318332653,3.1473479702858813,-0.046163651953228246,5,5
thinking,17,1.036296464335002,2.3000491183764016,-1.2637526540413995,5,5
thinking,18,3.8153147404939065,1.6897436276374251,2.1255711128564814,5,5
thinking,19,1.489647122533797,4.736424771291188,-3.2467776487573907,5,5
thinking,20,3.3151915696169016,3.4261182413766824,-0.11092667175978077,5,5
thinking,21,3.269669929748457,3.2729513975627595,-0.0032814678143027187,5,5
