dataset,model,subset_size,subset,n_questions,mean_hcds,t_statistic,p_value_two_sided,positive,significant_positive
GSM8K n=50,instruct,1,latency_per_output_token,50,1.7969,14.461,0.0,1,1
GSM8K n=50,instruct,1,token_entropy_mean,50,0.7353,4.364,6.582365987028993e-05,1,1
GSM8K n=50,instruct,1,token_entropy_slope,50,1.0618,5.271,3.036638792419666e-06,1,1
GSM8K n=50,instruct,1,paraphrase_consistency,45,0.9554,5.244,4.289824614422955e-06,1,1
GSM8K n=50,instruct,1,perturbation_delta_accuracy,50,0.2458,1.137,0.26097958097420815,1,0
GSM8K n=50,instruct,1,mechanistic_intervention_delta_accuracy,4,-0.0,-0.0,1.0,0,0
GSM8K n=50,instruct,2,"latency_per_output_token,token_entropy_mean",50,1.9747,11.801,6.661338147750939e-16,1,1
GSM8K n=50,instruct,2,"latency_per_output_token,token_entropy_slope",50,2.3279,12.718,0.0,1,1
GSM8K n=50,instruct,2,"latency_per_output_token,paraphrase_consistency",50,2.1358,13.318,0.0,1,1
GSM8K n=50,instruct,2,"latency_per_output_token,perturbation_delta_accuracy",50,1.902,9.77,4.338751580235112e-13,1,1
GSM8K n=50,instruct,2,"latency_per_output_token,mechanistic_intervention_delta_accuracy",50,1.2495,6.111,1.576751662568654e-07,1,1
GSM8K n=50,instruct,2,"token_entropy_mean,token_entropy_slope",50,1.4598,6.389,5.861657714767432e-08,1,1
GSM8K n=50,instruct,2,"token_entropy_mean,paraphrase_consistency",50,1.3046,6.952,7.863718343159576e-09,1,1
GSM8K n=50,instruct,2,"token_entropy_mean,perturbation_delta_accuracy",50,0.9265,3.871,0.00032127453813246554,1,1
GSM8K n=50,instruct,2,"token_entropy_mean,mechanistic_intervention_delta_accuracy",50,0.2611,1.298,0.20035119765414633,1,0
GSM8K n=50,instruct,2,"token_entropy_slope,paraphrase_consistency",50,1.5133,6.205,1.1313427439318957e-07,1,1
GSM8K n=50,instruct,2,"token_entropy_slope,perturbation_delta_accuracy",50,1.2114,4.374,6.370366733254862e-05,1,1
GSM8K n=50,instruct,2,"token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.505,1.986,0.05259683908875745,1,0
GSM8K n=50,instruct,2,"paraphrase_consistency,perturbation_delta_accuracy",50,1.0342,4.092,0.00015930345527803702,1,1
GSM8K n=50,instruct,2,"paraphrase_consistency,mechanistic_intervention_delta_accuracy",45,0.4299,1.639,0.10833923640059084,1,0
GSM8K n=50,instruct,2,"perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,-0.2993,-1.247,0.21829424643512052,0,0
GSM8K n=50,instruct,3,"latency_per_output_token,token_entropy_mean,token_entropy_slope",50,2.4196,11.066,6.217248937900877e-15,1,1
GSM8K n=50,instruct,3,"latency_per_output_token,token_entropy_mean,paraphrase_consistency",50,2.271,12.499,0.0,1,1
GSM8K n=50,instruct,3,"latency_per_output_token,token_entropy_mean,perturbation_delta_accuracy",50,2.078,9.647,6.545874953189923e-13,1,1
GSM8K n=50,instruct,3,"latency_per_output_token,token_entropy_mean,mechanistic_intervention_delta_accuracy",50,1.5027,7.305,2.234290308322784e-09,1,1
GSM8K n=50,instruct,3,"latency_per_output_token,token_entropy_slope,paraphrase_consistency",50,2.5688,11.906,4.440892098500626e-16,1,1
GSM8K n=50,instruct,3,"latency_per_output_token,token_entropy_slope,perturbation_delta_accuracy",50,2.4025,10.229,9.459100169806334e-14,1,1
GSM8K n=50,instruct,3,"latency_per_output_token,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,1.7808,7.547,9.467009398633763e-10,1,1
GSM8K n=50,instruct,3,"latency_per_output_token,paraphrase_consistency,perturbation_delta_accuracy",50,2.2241,10.021,1.8762769116165146e-13,1,1
GSM8K n=50,instruct,3,"latency_per_output_token,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,1.6147,6.994,6.778667849260955e-09,1,1
GSM8K n=50,instruct,3,"latency_per_output_token,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,1.368,6.031,2.0965769809144774e-07,1,1
GSM8K n=50,instruct,3,"token_entropy_mean,token_entropy_slope,paraphrase_consistency",50,1.8165,7.323,2.0957720003877967e-09,1,1
GSM8K n=50,instruct,3,"token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy",50,1.5908,5.727,6.148086373336525e-07,1,1
GSM8K n=50,instruct,3,"token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.9857,3.98,0.00022723121248202638,1,1
GSM8K n=50,instruct,3,"token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy",50,1.4553,5.832,4.239158220009642e-07,1,1
GSM8K n=50,instruct,3,"token_entropy_mean,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,0.8434,3.637,0.0006622391063844102,1,1
GSM8K n=50,instruct,3,"token_entropy_mean,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.4522,1.881,0.06593793068793152,1,0
GSM8K n=50,instruct,3,"token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",50,1.6161,5.377,2.098830487184955e-06,1,1
GSM8K n=50,instruct,3,"token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,0.9846,3.39,0.001387336729563593,1,1
GSM8K n=50,instruct,3,"token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.6692,2.282,0.026846179934113312,1,1
GSM8K n=50,instruct,3,"paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.521,1.903,0.06291089543951833,1,0
GSM8K n=50,instruct,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency",50,2.6496,11.283,3.1086244689504383e-15,1,1
GSM8K n=50,instruct,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy",50,2.4975,9.747,4.674038933671909e-13,1,1
GSM8K n=50,instruct,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,1.9477,8.053,1.5828982569132677e-10,1,1
GSM8K n=50,instruct,4,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy",50,2.3521,10.139,1.270095140171179e-13,1,1
GSM8K n=50,instruct,4,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,1.812,7.959,2.2070167915444472e-10,1,1
